Semana,2020,2021,2022,predic
1,532,437.75,437.75,343.5
2,944,706,793,793
3,771,443,598,778
4,712,671,680,774
5,871,780,746,774
6,807,783,992,658.5
7,806,703,670,807
8,707,832,653,791
9,722,860,757,791
10,703,842,858,795
11,609,832,963,1092
12,216,793,811,711.5
13,778,778,650,790
14,689,689,768,638.5
15,759,316,759,798
16,580.5,266,799,580.5
17,665.5,349,789,665.5
18,654.5,357,906,654.5
19,810,535,1698,810
20,917,1007,917,810
21,816,990,816,810
22,815,985,815,810
23,329,1135,877,798
24,546,1326,751,810
25,1079,2218,1483,1337
26,618,1383,1440,915
27,624,1103,955,810
28,429,1103,845,793
29,225,999,618,747.5
30,139,897,629,641.5
31,275,940,735,764.5
32,237,1065,798,653.5
33,252,865,751,807
34,354,929,656,735.5
35,373,883,522,735.5
36,825,1014,723,620.5
37,898,945,731,810
38,1047,1033,801,807
39,962,878,758,810
40,913,835,464,655.5
41,942,835,835,752.5
42,999,942,942,795
43,1025,926,926,795
44,804,1066,804,802
45,922,836,836,711.5
46,1004,1005,1004,810
47,1340,1216,1216,1162
48,1661,1355,1355,1320
49,2133,2713,2133,807
50,2722,2846,2722,810
51,3454,3494,3494,3755
52,3712,5080,3900,3900
53,1559,2328,1593.5,1593.5
